,,Hourly SiteSage  Data, 2016-10-28 20:37:00,Customer: ,Historic Green Village @AMI

Column name is Energy Monitor Channel Number-Circuit Name
Channel Columns contain energy usage(production) in watt hours for hour
Voltage is average voltage for hour

 Date/Time,"CH1-Bldg F1","CH2-Bldg F1","CH3-Solar Input (F1)","CH4-No CT","CH5-WSHP","CH6-Range","CH7-Range","CH8-Microwave","CH9-Dishwasher","CH10-Mixer","CH11-Fridge in Back","CH12-Front Display Case","CH13-Back Middle Freezer","CH14-Back Freezer near Wall","CH15-Lighting{1}","CH16-Gas Water Heater","CH17-Gas Convection Oven","CH18-Receptacle 1","CH19-Receptacle 2","CH20-Receptacle 3","CH21-Front Small Fridge","CH22-Bath/Mechanical Room","CH23-Outdoor Receptacle","CH24-Lighting Outdoor",Outdoor Temp
2013-01-07 09:00:00,2609,3414,0,0,783,593,582,15,0,0,290,459,785,468,448,3,0,908,2,77,392,65,81,171,63
2013-01-07 10:00:00,2586,2455,0,0,210,326,316,19,0,15,304,347,1168,574,574,3,0,236,0,97,427,89,218,463,63
2013-01-07 11:00:00,2138,2051,0,0,217,5,0,49,0,18,300,299,1113,472,578,3,0,239,0,93,286,93,220,420,63
2013-01-07 12:00:00,2763,2531,0,0,218,376,368,161,0,55,343,431,1074,529,576,4,206,241,0,89,269,95,219,436,62
2013-01-07 13:00:00,3002,2820,0,0,906,294,286,93,41,6,300,477,921,480,570,11,336,238,0,91,374,99,219,439,62
2013-01-07 14:00:00,2602,2534,0,0,693,5,0,18,0,0,382,460,1277,599,571,4,28,241,0,144,351,92,221,393,63
2013-01-07 15:00:00,3089,3173,0,0,693,515,505,13,42,0,274,521,1456,590,577,12,0,248,0,135,351,74,227,309,63
2013-01-07 16:00:00,2257,2518,0,0,572,36,30,13,0,0,348,502,1070,563,577,8,0,248,0,138,308,72,227,294,63
2013-01-07 17:00:00,2335,2148,0,0,921,5,0,13,0,0,313,403,1106,494,582,3,0,18,0,149,401,59,38,65,64
2013-01-07 18:00:00,2589,2163,0,0,969,6,0,13,0,6,430,358,1234,754,418,7,0,0,0,106,452,40,0,0,64
2013-01-07 19:00:00,1872,1101,0,0,21,6,0,13,0,0,350,376,1009,566,34,1,0,0,0,48,447,17,0,0,63
2013-01-07 20:00:00,1974,1271,0,0,364,6,0,13,0,0,292,400,1033,538,35,1,0,0,0,49,437,18,0,0,63
2013-01-07 21:00:00,2079,1264,0,0,322,6,0,13,0,0,304,509,1225,476,36,1,0,0,0,51,345,19,0,0,63
2013-01-07 22:00:00,2111,1472,0,0,682,5,0,14,0,0,318,486,1027,539,36,1,0,0,0,51,394,20,0,0,63
2013-01-07 23:00:00,1938,1239,0,0,330,2,0,14,0,0,257,393,1029,545,36,1,0,0,0,50,461,21,0,0,63
2013-01-08 00:00:00,1814,1230,0,0,345,2,0,14,0,0,325,385,877,523,35,1,0,0,0,49,377,21,0,0,62
2013-01-08 01:00:00,1704,1199,0,0,317,1,0,14,0,0,230,387,880,495,35,1,0,0,0,49,372,21,0,0,62
2013-01-08 02:00:00,1914,1213,0,0,320,1,0,14,0,0,303,411,950,502,35,1,0,0,0,48,442,21,0,0,62
2013-01-08 03:00:00,1777,1326,0,0,334,1,0,14,0,0,232,509,967,540,36,1,0,0,0,49,363,21,0,0,61
2013-01-08 04:00:00,1827,1331,0,0,383,1,0,14,0,0,331,492,865,532,35,1,0,0,0,49,371,21,0,0,62
2013-01-08 05:00:00,1736,1206,0,0,340,1,0,14,0,0,224,363,833,527,34,1,0,0,0,49,449,21,0,0,62
2013-01-08 06:00:00,1857,1229,0,0,390,3,0,13,0,0,357,377,881,505,34,1,0,0,0,48,368,20,0,0,61
2013-01-08 07:00:00,1676,1152,0,0,294,5,0,13,0,0,219,373,884,495,34,1,0,0,0,49,365,19,0,0,61
2013-01-08 08:00:00,1791,1368,0,0,304,6,0,13,0,0,301,492,844,668,33,1,0,0,0,49,426,18,0,0,62
2013-01-08 09:00:00,2461,2250,0,0,563,432,423,13,0,7,361,455,1056,572,327,3,0,0,0,48,305,37,132,0,66
2013-01-08 10:00:00,3083,2937,0,0,1658,354,344,12,0,18,361,328,1181,518,581,3,0,0,0,85,412,64,222,0,71
2013-01-08 11:00:00,3793,3080,0,0,2016,317,308,94,0,17,356,382,1429,520,580,7,300,5,0,86,458,65,219,0,76
2013-01-08 12:00:00,4056,3482,1,0,2793,126,120,205,40,31,293,494,1242,490,579,6,350,31,1,77,478,59,221,0,79
