,,Daily SiteSage Data, 2018-01-01 15:58:00,Customer: ,Historic Green Village,Location: Bakery (F1)

Column name is Energy Monitor Channel Number-Circuit Name
Channel Columns contain energy usage(production) in kWh for day
Voltage is average voltage for day

 Date,"CH1-Bldg F1","CH3-PV Array F1","CH4-Plug: Front FridgeT","CH5-A/C: WSHP1","CH6-Range","CH8-Plug: Microwave","CH9-Wired: Dishwasher","CH10-Plug: Mixer","CH11-Plug: Fridge in Back","CH12-Plug: Front Display Case","CH13-Plug: Back Middle Freezer","CH14-Plug: Back Freezer near Wall","CH15-Lights: Indoor 1","CH16-DHW Gas Instant","CH17-Plug: Gas Oven","CH18-Plugs: Outlet 1","CH19-Plugs: Outlet 2","CH20-Plugs: Outlet 3","CH21-Plug: Front Small Fridge","CH22-Lights: Bath/Mechanical Room","CH23-Plug: Outdoor Receptacle","CH24-Lights: Outdoor 4",4065/Voltage,Outdoor Temp
2015-03-25,139.225,-19.748,0.000,40.851,1.417,1.149,0.223,2.433,10.889,23.317,22.598,14.252,6.935,0.069,1.830,0.776,0.000,1.738,1.708,24.144,0.024,1.279,119.17500,71.7
2015-03-26,165.024,-19.179,0.000,54.511,5.018,0.664,0.224,3.601,13.325,23.008,22.472,15.367,8.636,0.074,3.153,1.695,0.001,1.899,1.741,22.968,0.030,0.969,118.52083,74.2
2015-03-27,159.622,-8.953,0.000,43.288,5.994,1.055,0.313,2.636,14.279,22.896,22.720,15.908,7.643,0.087,1.431,0.904,0.003,1.904,2.198,22.934,0.019,1.068,118.42500,71.2
2015-03-28,125.349,-25.129,0.008,30.107,3.551,0.700,0.152,2.447,14.982,22.873,23.447,14.994,6.947,0.043,1.742,0.000,0.000,1.594,1.549,22.665,0.016,1.065,118.77500,64
2015-03-29,111.068,-25.764,0.012,24.444,5.232,0.975,0.084,2.778,9.885,22.264,21.243,13.582,6.495,0.050,1.557,0.000,0.000,1.720,1.251,22.054,0.008,0.914,118.77083,63.6
2015-03-30,141.747,-25.541,0.001,38.682,4.880,1.313,0.438,3.338,13.527,23.064,25.396,16.453,7.859,0.094,3.168,1.357,0.000,1.696,0.049,22.514,0.003,1.332,118.90000,63.8
2015-03-31,142.517,-25.275,0.000,42.614,0.491,1.576,0.235,2.774,13.445,23.433,25.031,14.524,8.241,0.077,3.172,1.202,0.000,1.936,0.000,23.338,0.004,1.283,118.93750,69.8
2015-04-01,159.840,-24.871,0.000,50.382,4.934,0.855,0.310,2.355,13.650,23.712,26.059,15.881,9.407,0.078,3.943,1.424,0.001,2.200,1.967,22.852,0.032,1.352,118.39167,70.7
2015-04-02,161.936,-23.097,0.000,52.558,4.926,0.830,0.374,3.956,14.219,23.782,23.985,15.046,9.189,0.068,3.415,1.058,0.000,2.174,2.278,22.774,0.033,0.995,118.55833,71.9
2015-04-03,153.706,-25.430,0.000,48.812,6.145,1.502,0.401,2.504,14.580,23.163,23.248,15.323,8.582,0.067,2.482,1.081,0.000,2.067,1.772,22.428,0.024,0.988,118.55000,72.8
2015-04-04,134.931,-25.744,0.001,38.840,4.769,0.762,0.201,2.361,12.968,23.354,21.299,13.654,7.427,0.046,1.377,0.118,0.000,1.612,1.762,23.131,0.021,1.017,118.43750,73
2015-04-05,107.791,-23.426,0.013,29.975,1.998,0.582,0.083,2.078,9.858,22.305,20.322,13.205,2.753,0.029,0.877,0.232,0.000,1.051,0.000,22.854,0.003,0.000,118.16667,75.4
2015-04-06,151.837,-24.288,0.000,52.818,1.372,1.315,0.187,2.349,12.411,23.123,21.463,15.043,8.325,0.036,3.194,1.412,0.000,1.803,1.849,22.718,0.026,1.159,117.12500,74.4
2015-04-07,167.362,-23.610,0.000,59.528,3.191,1.190,0.306,2.656,12.154,23.381,22.194,14.470,9.199,0.063,4.639,1.649,0.000,2.249,1.884,22.231,0.028,0.927,117.78333,75.1
2015-04-08,138.112,-8.059,0.000,38.312,4.369,0.755,0.087,2.575,9.507,21.987,22.479,14.781,4.422,0.057,1.473,0.414,0.000,1.305,1.431,22.066,0.015,0.417,118.60000,76.5
2015-04-09,,,,,,,,,,,,,,,,,,,,,,,,76.1
2015-04-10,,,,,,,,,,,,,,,,,,,,,,,,75.7
2015-04-11,,,,,,,,,,,,,,,,,,,,,,,,76.7
2015-04-12,,,,,,,,,,,,,,,,,,,,,,,,76.5
2015-04-13,,,,,,,,,,,,,,,,,,,,,,,,77
2015-04-14,,,,,,,,,,,,,,,,,,,,,,,,76.7
